RED: step-0 worker--1 location-(6, 6) hp-1 resource-0 curact-noop 
RED: step-1 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-2 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-3 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-4 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-5 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-6 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-7 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-8 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-9 worker--1 location-(6, 6) hp-1 resource-0 curact-move 
RED: step-10 worker--1 location-(7, 6) hp-1 resource-0 curact-noop 
RED: step-11 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-12 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-13 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-14 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-15 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-16 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-17 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-18 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-19 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-20 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-21 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-22 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-23 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-24 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-25 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-26 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-27 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-28 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-29 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-30 worker--1 location-(7, 6) hp-1 resource-1 curact-noop 
RED: step-31 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-32 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-33 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-34 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-35 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-36 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-37 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-38 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-39 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-40 worker--1 location-(7, 5) hp-1 resource-1 curact-noop 
RED: step-41 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-42 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-43 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-44 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-45 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-46 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-47 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-48 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-49 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-50 worker--1 location-(7, 5) hp-1 resource-0 curact-noop 
RED: step-51 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-52 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-53 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-54 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-55 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-56 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-57 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-58 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-59 worker--1 location-(7, 5) hp-1 resource-0 curact-move 
RED: step-60 worker--1 location-(7, 6) hp-1 resource-0 curact-noop 
RED: step-61 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-62 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-63 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-64 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-65 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-66 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-67 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-68 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-69 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-70 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-71 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-72 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-73 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-74 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-75 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-76 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-77 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-78 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-79 worker--1 location-(7, 6) hp-1 resource-0 curact-harvest 
RED: step-80 worker--1 location-(7, 6) hp-1 resource-1 curact-noop 
RED: step-81 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-82 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-83 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-84 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-85 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-86 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-87 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-88 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-89 worker--1 location-(7, 6) hp-1 resource-1 curact-move 
RED: step-90 worker--1 location-(7, 5) hp-1 resource-1 curact-noop 
RED: step-91 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-92 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-93 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-94 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-95 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-96 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-97 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-98 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
RED: step-99 worker--1 location-(7, 5) hp-1 resource-1 curact-return 
